,h,b,s,t,r1,r2,A,P,Iy,Wy,iy,Sy,Iz,Wz,iz,a1
10,100,55,4.5,7.2,7,2.5,12,9.46,198,39.7,40.6,23,17.9,6.49,12.2,12
12,120,64,4.8,7.3,7.5,3,14.7,11.5,350,58.4,48.8,33.7,27.9,8.72,13.8,12
14,140,73,4.9,7.5,8,3,17.4,13.7,572,81.7,57.3,46.8,41.9,11.5,15.5,12
16,160,81,5,7.8,8.5,3.5,20.2,15.9,873,109,65.7,62.3,58.6,14.5,17,12
18,180,90,5.1,8.1,9,3.5,23.4,18.4,1290,143,74.2,81.4,82.6,18.4,18.8,12
20,200,100,5.2,8.4,9.5,4,26.8,21,1840,184,82.8,104,115,23.1,20.7,12
22,220,110,5.4,8.7,10,4,30.6,24,2550,232,91.3,131,157,28.6,22.7,12
24,240,115,5.6,9.5,10.5,4,34.8,27.3,3460,289,99.7,163,198,34.5,23.7,12
27,270,125,6,9.8,11,4.5,40.2,31.5,5010,371,112,210,260,41.5,25.4,12
30,300,135,6.5,10.2,12,5,46.5,36.5,7080,472,123,268,337,49.9,26.9,12
33,330,140,7,11.2,13,5,53.8,42.2,9839.999,597,135,339,419,59.9,27.9,12
36,360,145,7.5,12.3,14,6,61.9,48.6,13379.999,743,147,423,516,71.1,28.9,12
40,400,155,8.3,13,15,6,72.6,57,19061.998,953,162,545,667,86.1,30.3,12
45,450,160,9,14.2,16,7,84.7,66.5,27695.998,1231,181,708,808,101,30.9,12
50,500,170,10,15.2,17,7,100,78.5,39726.996,1589,199,919,1043,123,32.3,12
55,550,180,11,16.5,18,7,118,92.6,55961.992,2035,218,1181,1356,151,33.9,12
60,600,190,12,17.8,20,8,138,108,76805.992,2560,236,1491,1725,182,35.4,12
